run,step,query_idx,query_text,kb_size_bytes,file_count,model,vector_store_id,elapsed_ms,input_tokens,output_tokens,provider_server_latency_ms,throughput_output_tokens_per_sec,has_citation
1,1,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",10569,1,gpt-4o-mini,vs_69d643f5a49081919708461ebe55475a,140378.494,10175,825,140277,5.881,False
1,1,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",10569,1,gpt-4o-mini,vs_69d643f5a49081919708461ebe55475a,29622.628,9342,600,29523,20.323,True
1,1,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",10569,1,gpt-4o-mini,vs_69d643f5a49081919708461ebe55475a,19895.68,9197,563,19843,28.373,True
1,1,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,10569,1,gpt-4o-mini,vs_69d643f5a49081919708461ebe55475a,37190.1,9305,713,37097,19.22,True
1,1,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",10569,1,gpt-4o-mini,vs_69d643f5a49081919708461ebe55475a,9599.896,9133,435,9544,45.578,True
1,1,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,10569,1,gpt-4o-mini,vs_69d643f5a49081919708461ebe55475a,15962.982,9126,383,15916,24.064,True
1,2,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",21048,2,gpt-4o-mini,vs_69d644fbd560819197387047506ee08c,149831.073,18339,903,149786,6.029,False
1,2,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",21048,2,gpt-4o-mini,vs_69d644fbd560819197387047506ee08c,28793.599,17242,525,28707,18.288,True
1,2,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",21048,2,gpt-4o-mini,vs_69d644fbd560819197387047506ee08c,46391.654,17329,477,46340,10.293,True
1,2,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,21048,2,gpt-4o-mini,vs_69d644fbd560819197387047506ee08c,42511.468,17289,654,42460,15.403,True
1,2,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",21048,2,gpt-4o-mini,vs_69d644fbd560819197387047506ee08c,12887.414,17260,454,12838,35.364,True
1,2,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,21048,2,gpt-4o-mini,vs_69d644fbd560819197387047506ee08c,4705.928,17202,321,4610,69.631,False
1,3,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",31242,3,gpt-4o-mini,vs_69d6467049808191ab0f35b22da05853,142794.984,18179,824,142739,5.773,False
1,3,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",31242,3,gpt-4o-mini,vs_69d6467049808191ab0f35b22da05853,44078.371,17387,547,44020,12.426,True
1,3,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",31242,3,gpt-4o-mini,vs_69d6467049808191ab0f35b22da05853,11070.579,17158,470,10980,42.805,True
1,3,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,31242,3,gpt-4o-mini,vs_69d6467049808191ab0f35b22da05853,43562.178,17374,750,43512,17.237,False
1,3,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",31242,3,gpt-4o-mini,vs_69d6467049808191ab0f35b22da05853,18381.44,17264,323,18331,17.62,True
1,3,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,31242,3,gpt-4o-mini,vs_69d6467049808191ab0f35b22da05853,34700.667,17365,440,34609,12.713,True
1,4,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",41717,4,gpt-4o-mini,vs_69d647a1a6a08191b44deb1b911230d4,125543.645,18527,1056,125494,8.415,False
1,4,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",41717,4,gpt-4o-mini,vs_69d647a1a6a08191b44deb1b911230d4,29592.085,17289,600,29537,20.314,True
1,4,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",41717,4,gpt-4o-mini,vs_69d647a1a6a08191b44deb1b911230d4,26477.574,17300,478,26428,18.087,False
1,4,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,41717,4,gpt-4o-mini,vs_69d647a1a6a08191b44deb1b911230d4,72169.302,17552,890,72116,12.341,True
1,4,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",41717,4,gpt-4o-mini,vs_69d647a1a6a08191b44deb1b911230d4,17389.619,17258,426,17335,24.575,False
1,4,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,41717,4,gpt-4o-mini,vs_69d647a1a6a08191b44deb1b911230d4,35183.984,17393,423,35099,12.052,True
1,5,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",51989,5,gpt-4o-mini,vs_69d648df4b5c8191b34e3f2e3483ae04,80642.361,18071,1077,80557,13.369,True
1,5,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",51989,5,gpt-4o-mini,vs_69d648df4b5c8191b34e3f2e3483ae04,11940.023,17330,399,11888,33.563,True
1,5,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",51989,5,gpt-4o-mini,vs_69d648df4b5c8191b34e3f2e3483ae04,28783.411,17310,581,28732,20.221,True
1,5,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,51989,5,gpt-4o-mini,vs_69d648df4b5c8191b34e3f2e3483ae04,37656.556,17303,706,37575,18.789,False
1,5,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",51989,5,gpt-4o-mini,vs_69d648df4b5c8191b34e3f2e3483ae04,18955.929,17252,354,18865,18.765,True
1,5,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,51989,5,gpt-4o-mini,vs_69d648df4b5c8191b34e3f2e3483ae04,28659.054,17460,478,28548,16.744,True
1,6,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",62334,6,gpt-4o-mini,vs_69d649b6f928819181ee5f56c433b41b,157498.208,18374,881,157408,5.597,False
1,6,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",62334,6,gpt-4o-mini,vs_69d649b6f928819181ee5f56c433b41b,20228.37,17391,568,20178,28.149,True
1,6,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",62334,6,gpt-4o-mini,vs_69d649b6f928819181ee5f56c433b41b,14707.91,17266,474,14651,32.353,True
1,6,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,62334,6,gpt-4o-mini,vs_69d649b6f928819181ee5f56c433b41b,15464.463,936,564,15402,36.619,False
1,6,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",62334,6,gpt-4o-mini,vs_69d649b6f928819181ee5f56c433b41b,14356.615,17257,378,14274,26.482,True
1,6,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,62334,6,gpt-4o-mini,vs_69d649b6f928819181ee5f56c433b41b,27383.073,17314,368,27307,13.476,False
1,7,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",72725,7,gpt-4o-mini,vs_69d64abbae308191b3d16dff593a08ab,48186.69,17593,602,48057,12.527,True
1,7,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",72725,7,gpt-4o-mini,vs_69d64abbae308191b3d16dff593a08ab,35453.107,17401,587,35361,16.6,True
1,7,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",72725,7,gpt-4o-mini,vs_69d64abbae308191b3d16dff593a08ab,25515.519,17249,427,25463,16.769,True
1,7,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,72725,7,gpt-4o-mini,vs_69d64abbae308191b3d16dff593a08ab,25117.453,17052,777,25060,31.006,True
1,7,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",72725,7,gpt-4o-mini,vs_69d64abbae308191b3d16dff593a08ab,9123.93,16850,397,9064,43.8,True
