run,step,query_idx,query_text,kb_size_bytes,file_count,model,vector_store_id,elapsed_ms,input_tokens,output_tokens,provider_server_latency_ms,throughput_output_tokens_per_sec,has_citation
1,1,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",10205,1,gpt-4o-mini,vs_69d4950bd0b48191b358ef1e7d3bcbd3,47815.48,9077,656,47078,13.934,True
1,1,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",10205,1,gpt-4o-mini,vs_69d4950bd0b48191b358ef1e7d3bcbd3,17449.362,8865,643,17399,36.956,False
1,1,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",10205,1,gpt-4o-mini,vs_69d4950bd0b48191b358ef1e7d3bcbd3,11687.545,8773,511,11635,43.919,True
1,1,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,10205,1,gpt-4o-mini,vs_69d4950bd0b48191b358ef1e7d3bcbd3,19182.24,8879,739,19046,38.801,False
1,1,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",10205,1,gpt-4o-mini,vs_69d4950bd0b48191b358ef1e7d3bcbd3,9474.166,8764,365,9336,39.096,False
1,1,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,10205,1,gpt-4o-mini,vs_69d4950bd0b48191b358ef1e7d3bcbd3,9294.809,8755,349,9195,37.955,False
1,2,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",20330,1,gpt-4o-mini,vs_69d49588544c8191962c48fd2c1cd881,89804.186,17832,1143,89681,12.745,True
1,2,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",20330,1,gpt-4o-mini,vs_69d49588544c8191962c48fd2c1cd881,52073.091,17047,681,51968,13.104,True
1,2,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",20330,1,gpt-4o-mini,vs_69d49588544c8191962c48fd2c1cd881,31769.328,16877,459,31703,14.478,True
1,2,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,20330,1,gpt-4o-mini,vs_69d49588544c8191962c48fd2c1cd881,32956.988,17001,759,32902,23.069,False
1,2,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",20330,1,gpt-4o-mini,vs_69d49588544c8191962c48fd2c1cd881,19851.355,16884,418,19799,21.112,False
1,2,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,20330,1,gpt-4o-mini,vs_69d49588544c8191962c48fd2c1cd881,28303.494,16972,508,28214,18.005,True
1,3,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",30194,1,gpt-4o-mini,vs_69d496902c048191a3d283682553de11,104933.18,18076,1231,104835,11.742,True
1,3,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",30194,1,gpt-4o-mini,vs_69d496902c048191a3d283682553de11,58202.172,17176,668,58123,11.493,True
1,3,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",30194,1,gpt-4o-mini,vs_69d496902c048191a3d283682553de11,19783.979,16959,386,19724,19.57,True
1,3,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,30194,1,gpt-4o-mini,vs_69d496902c048191a3d283682553de11,40461.553,17018,760,40402,18.811,True
1,3,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",30194,1,gpt-4o-mini,vs_69d496902c048191a3d283682553de11,11805.136,16970,397,11725,33.859,True
1,3,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,30194,1,gpt-4o-mini,vs_69d496902c048191a3d283682553de11,16893.966,17042,339,16743,20.247,False
