run,step,query_idx,query_text,kb_size_bytes,file_count,model,vector_store_id,elapsed_ms,input_tokens,output_tokens,provider_server_latency_ms,throughput_output_tokens_per_sec,has_citation
1,1,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",10569,1,gpt-4o-mini,vs_69d5fffa955c8191ab0a819a5322fff8,72136.61,9415,595,71562,8.314,True
1,1,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",10569,1,gpt-4o-mini,vs_69d5fffa955c8191ab0a819a5322fff8,42127.243,9239,638,42068,15.166,False
1,1,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",10569,1,gpt-4o-mini,vs_69d5fffa955c8191ab0a819a5322fff8,21282.669,9089,507,21201,23.914,True
1,1,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,10569,1,gpt-4o-mini,vs_69d5fffa955c8191ab0a819a5322fff8,65689.158,9441,1011,65633,15.404,False
1,1,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",10569,1,gpt-4o-mini,vs_69d5fffa955c8191ab0a819a5322fff8,23948.054,9082,352,23862,14.751,True
1,1,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,10569,1,gpt-4o-mini,vs_69d5fffa955c8191ab0a819a5322fff8,19273.78,9065,284,19180,14.807,False
1,2,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",21048,1,gpt-4o-mini,vs_69d600f7a6308191b4caf27de276f8c9,16898.323,955,450,16850,26.706,False
1,2,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",21048,1,gpt-4o-mini,vs_69d600f7a6308191b4caf27de276f8c9,30722.894,17466,604,30626,19.722,False
1,2,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",21048,1,gpt-4o-mini,vs_69d600f7a6308191b4caf27de276f8c9,13659.142,17347,436,13577,32.113,True
1,2,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,21048,1,gpt-4o-mini,vs_69d600f7a6308191b4caf27de276f8c9,63587.149,17586,891,63482,14.035,False
1,2,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",21048,1,gpt-4o-mini,vs_69d600f7a6308191b4caf27de276f8c9,12253.339,17375,349,12202,28.602,False
1,2,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,21048,1,gpt-4o-mini,vs_69d600f7a6308191b4caf27de276f8c9,15635.208,17372,340,14096,24.12,False
1,3,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",31242,1,gpt-4o-mini,vs_69d601992c0c8191b091b8aa00e96dea,72782.825,18112,1016,72733,13.969,True
1,3,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",31242,1,gpt-4o-mini,vs_69d601992c0c8191b091b8aa00e96dea,39793.573,17411,618,39739,15.551,True
1,3,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",31242,1,gpt-4o-mini,vs_69d601992c0c8191b091b8aa00e96dea,21526.868,17295,473,21443,22.058,True
1,3,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,31242,1,gpt-4o-mini,vs_69d601992c0c8191b091b8aa00e96dea,60090.733,17908,1160,60036,19.322,True
1,3,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",31242,1,gpt-4o-mini,vs_69d601992c0c8191b091b8aa00e96dea,18717.658,17287,385,18656,20.637,True
1,3,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,31242,1,gpt-4o-mini,vs_69d601992c0c8191b091b8aa00e96dea,25175.516,17348,318,25083,12.678,False
1,4,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",41717,1,gpt-4o-mini,vs_69d6029277b0819184e363c80007d22b,164657.059,18378,866,164601,5.261,False
1,4,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",41717,1,gpt-4o-mini,vs_69d6029277b0819184e363c80007d22b,19182.015,17334,483,19131,25.247,True
1,4,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",41717,1,gpt-4o-mini,vs_69d6029277b0819184e363c80007d22b,20284.862,17289,454,20237,22.434,False
1,4,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,41717,1,gpt-4o-mini,vs_69d6029277b0819184e363c80007d22b,36068.627,17390,885,36017,24.572,False
